Region,Source,Other Names,RA_Galario_deg,Dec_Galario_deg,Mstar_PPVII,Dist_DR3,vsys_v2,vsys_v2_err,vsys_v2_notes,PA_DECO,PA_DECO_Err,PA_Notes,Inc_DECO,Inc_DECO_Err,Inc_Notes
ROph,J162656.8-241351,,246.7365325,-24.231151,0.62,136.52,5.29,,,185.8,,DECO Dust + Gas Check; added 135 degrees after check with N.Green (2025-09-24),64,2.820,Literature
ROph,J162636.8-241552,,246.6534279,-24.264589,0.631,136.59,4.49,,,241.8,,DECO Dust + Gas Check,31,2.410,Literature
ROph,J162738.3-243658,,246.9096171,-24.616443,0.65,139.46,5.33,,,122.15,,Eddy,70,0.140,Literature
ROph,J162623.6-242439,,246.5982287,-24.411161,0.69,139.4,1.9,,,48.555,,Updated to Galario (05-20-2025); Eddy,71,0.130,Literature
ROph,J162739.0-235818,,246.9125,-23.97204,0.69,141.55,2.86,,,93.977,,Updated to Galario (05-20-2025); DECO Dust + Gas Check,47.17,0.800,Eddy
ROph,J162823.3-242241,,247.0972112,-24.378121,0.69,146.81,2.09,,,67.078,,Updated to Galario (05-20-2025); DECO Dust + Gas Check,63,0.280,Literature
ROph,J162536.7-241542,,246.4030267,-24.261993,0.84,139.4,3.93,,,145.76,,Eddy,74,1.050,Literature
ROph,J162733.1-244115,,246.8879146,-24.687744,0.875,136.55,8.22,,,213.84,,Eddy,38.12,0.060,Eddy
ROph,J162624.1-241613,Elias24,246.6003204,-24.270566,0.9399,139.26,3.08,,,48.358,,Updated to Galario (05-20-2025); Eddy,42.38,0.300,Eddy
Taurus,FN Tau,,63.560875,28.46597039,0.27,129.89,6.4,0.1,DECO CS,150,,Scattered light Kudo+18,20,10,Kudo+18 (Scattered light)
Taurus,HO Tau,,68.83427792,22.53727333,0.275,164.48,6.38,,,283,10,Eddy - only in 12CO. Approx uncertainty value. Consistent with PA from Galario + 180. ,55,0.800,Literature
Taurus,DM Tau,,68.453123,18.169338,0.291,144.05,5.99,0.04,old,338,,Updated (05-06-25) to Kudo+2018 +180,35.2,0.700,Literature
Taurus,FT Tau,,65.91334542,24.93715289,0.298,130.19,7.22,,,309.037,,Updated to Galario (05-20-2025); DECO Dust + Gas Check,35.5,0.400,Literature
Taurus,DE Tau,,65.48189167,27.91821206,0.326,128.02,5.92,0,old,30,,DECO Dust + Gas Check,34.1,1.000,Literature
Taurus,IQ Tau,,67.46486208,26.11232931,0.422,140,5.5,,,220,,Updated to Eddy (05-20-2025); DECO Dust + Gas Check,60.8,0.100,Literature
Taurus,V836 Tau,,75.77751958,25.38867344,0.475,167,7.18,,,112.517,2.3,galario but consistent with eddy and csalt,43,0.100,Literature and consistent with Galario
Taurus,DS Tau,,71.9525238,29.41962133,0.497,158.35,5.7,,,339.504,,Updated to Galario+180 (05-20-2025); DECO Dust + Gas Check,70,3.000,Literature
Taurus,GI Tau,,68.39196333,24.35461303,0.497,129.44,7.5,,,142.2,0.1,Yamaguchi+24 with direction of rotation confirmed with Archival CO 3-2 2022.1.00828.S,43.8,0.100,Literature
Taurus,IP Tau,,66.23790083,27.19886661,0.508,129.38,6.87,,,352.2,0.6,Yamaguchi+24 and consistent with Eddy,45,0.200,Yamaguchi+24
Taurus,GK Tau,,68.39406667,24.35149481,0.58,129.14,6.26,,,116,5,Eddy,40.2,6.200,Long+19
Taurus,DR Tau,,71.77592625,16.97847294,0.6,140,9.9,,,3.4,,DECO Dust + Gas Check,5.4,2.600,Literature
Taurus,CI Tau,,68.4667666,22.8416072,0.65,160.32,5.7,0.002,Law+22. Note cloud contamination,191.3,1,Law+22; resolved in CO images. Original PA from paper is 11.3 but using our PA convention; it is +180. No uncertainty reported in law+22,49.2,0.4,Law+22; Yamaguchi+24. High resolution ALMA continuum
Taurus,DL Tau,,68.41288042,25.34380286,0.66,159.94,6.1,,,230,,Updated to Eddy (05-20-2025); DECO Dust + Gas Check,44.6,0.400,Literature
Taurus,GM Aur,,73.79579167,30.36633778,0.69,140,5.61,,,64,,DECO Dust + Gas Check; updated (05-06-25) with +180,53.2,0.010,Literature
Taurus,LkCa 15,,69.824192,22.3508453,0.7,157.19,6.28,0.04,old,61.8,0.3,Yamaguchi+24 but direction confirmed with CO gas from Piertu+2007,50.6,0.100,andrews+11
Taurus,DG Tau,,66.76959083,26.10432986,0.71,140,6.24,,,315.4,,DECO Dust + Gas Check; updated (05-06-25) with +180,33.5,0.100,Literature
Taurus,HP Tau,,68.96998792,22.9063463,0.84,140,5,1,,53.6,0.2,"Possible emission at delta_RADec of -1 and 1.2 (05-20-2025); Yamaguchi+24 - gas very confusing so this may be degenerate by 180
",20.3,0.100,Literature
Taurus,CW Tau,,63.5709125,28.18255653,1.11,131.55,6.8,,,241.4,1,"CO looks off-center (05-20-2025); Ueda+22; resolved continuum at 0.06"". Using our gas data; confirm 180deg to red shifted lobe. ",58.5,2,"Ueda+22; resolved continuum at 0.06"""
Taurus,HQ Tau,,68.9473075,22.83924269,1.27,140,5.7,,,179.1,3.2,Long+19 and consistent with EDDY,53.8,3.200,Long+19
